ref_filename,record_id,year,tier,team_id,problem_title,in_git_pdf,role,blob_sha,verification_status
2022-first-A22100070190-移动场景超分辨定位问题.pdf,2022-A22100070190,2022,first,A22100070190,移动场景超分辨定位问题,yes,REFERENCE_ONLY,4a5be81b64e70d92f00df51756acfa207fcaf046,team-id-matched
2022-first-A22100130054-移动场景超分辨定位问题.pdf,2022-A22100130054,2022,first,A22100130054,移动场景超分辨定位问题,yes,REFERENCE_ONLY,1b9066fecf8c64acf12e4a8eebc1dc589745aa24,team-id-matched
2022-first-A22102460007-移动场景超分辨定位问题.pdf,2022-A22102460007,2022,first,A22102460007,移动场景超分辨定位问题,no,REFERENCE_ONLY,1121906f515841f58d9e2ccafc603e905878ce1a,team-id-matched
2022-first-A22103040090-移动场景超分辨定位问题.pdf,2022-A22103040090,2022,first,A22103040090,移动场景超分辨定位问题,no,REFERENCE_ONLY,e70d830174efd12a2d42cb3411e744d01ddb5a17,team-id-matched
2022-first-A22104860055-移动场景超分辨定位问题.pdf,2022-A22104860055,2022,first,A22104860055,移动场景超分辨定位问题,no,REFERENCE_ONLY,238daeab23348ff049cd98f04ac5c090002f8676,team-id-matched
2022-first-A22107010047-移动场景超分辨定位问题.pdf,2022-A22107010047,2022,first,A22107010047,移动场景超分辨定位问题,yes,REFERENCE_ONLY,8d95d6d51f927ade7a6bd0e48abfcfff93f364eb,team-id-matched
2022-first-A22116460175-移动场景超分辨定位问题.pdf,2022-A22116460175,2022,first,A22116460175,移动场景超分辨定位问题,yes,REFERENCE_ONLY,dcb8d6e7ee168a9e70f99b9f6af693fbaeb742ce,team-id-matched
2022-first-B22100070171-方形件组批优化问题.pdf,2022-B22100070171,2022,first,B22100070171,方形件组批优化问题,no,REFERENCE_ONLY,5ed9f17d30d38b00c8fdd506b778a5c64835fdaf,team-id-matched
2022-first-B22102860210-方形件组批优化问题.pdf,2022-B22102860210,2022,first,B22102860210,方形件组批优化问题,no,REFERENCE_ONLY,7c15d8b0f3c0d9992ebefeb179cdbbf35658ee72,team-id-matched
2022-first-B22103360018-方形件组批优化问题.pdf,2022-B22103360018,2022,first,B22103360018,方形件组批优化问题,yes,REFERENCE_ONLY,fda8b1bc4e403e9e48de7465e31d7b66109fd680,team-id-matched
2022-first-B22104870143-方形件组批优化问题.pdf,2022-B22104870143,2022,first,B22104870143,方形件组批优化问题,yes,REFERENCE_ONLY,cb12ce5b39a3c674aed2ccf27629350a51bfdc79,team-id-matched
2022-first-B22105300030-方形件组批优化问题.pdf,2022-B22105300030,2022,first,B22105300030,方形件组批优化问题,yes,REFERENCE_ONLY,3c5a1acc63101a2df36a06a7859cfbbb950f9a13,team-id-matched
2022-first-B22106140009-方形件组批优化问题.pdf,2022-B22106140009,2022,first,B22106140009,方形件组批优化问题,no,REFERENCE_ONLY,09a89e2c6a0aeabc136c6d0fca661925d1832566,team-id-matched
2022-first-B22110490001-方形件组批优化问题.pdf,2022-B22110490001,2022,first,B22110490001,方形件组批优化问题,yes,REFERENCE_ONLY,a65d92ffa3a3c60b64d7f24ff79a353cfd159d04,team-id-matched
2022-first-C22103190082-汽车制造涂装-总装缓存调序区调度优化问题.pdf,2022-C22103190082,2022,first,C22103190082,汽车制造涂装-总装缓存调序区调度优化问题,yes,REFERENCE_ONLY,f1c42c51bbf843b987af74d3efea55785660d428,team-id-matched
2022-first-C22103360057-汽车制造涂装-总装缓存调序区调度优化问题.pdf,2022-C22103360057,2022,first,C22103360057,汽车制造涂装-总装缓存调序区调度优化问题,no,REFERENCE_ONLY,ffad7917917cb2a12f602a412847390c9d992107,team-id-matched
2022-first-C22103560098-汽车制造涂装-总装缓存调序区调度优化问题.pdf,2022-C22103560098,2022,first,C22103560098,汽车制造涂装-总装缓存调序区调度优化问题,yes,REFERENCE_ONLY,fb82e4299e3fa41c6ab4f9ea4d026ad453055da3,team-id-matched
2022-first-C22105330245-汽车制造涂装-总装缓存调序区调度优化问题.pdf,2022-C22105330245,2022,first,C22105330245,汽车制造涂装-总装缓存调序区调度优化问题,no,REFERENCE_ONLY,00ecab39f7da337859ac5154b153f3a804df5817,team-id-matched
2022-first-C22105930028-汽车制造涂装-总装缓存调序区调度优化问题.pdf,2022-C22105930028,2022,first,C22105930028,汽车制造涂装-总装缓存调序区调度优化问题,yes,REFERENCE_ONLY,4c453087b0eff9004c3960e42cd410dfb18bd612,team-id-matched
2022-first-C22106130232-汽车制造涂装-总装缓存调序区调度优化问题.pdf,2022-C22106130232,2022,first,C22106130232,汽车制造涂装-总装缓存调序区调度优化问题,no,REFERENCE_ONLY,665631f5dc94abe7036a7c968bbb4bfeb8a29fdb,team-id-matched
2022-first-C22106140003-汽车制造涂装-总装缓存调序区调度优化问题.pdf,2022-C22106140003,2022,first,C22106140003,汽车制造涂装-总装缓存调序区调度优化问题,yes,REFERENCE_ONLY,8fc9309b7b1618f8d08ffd4bd6546ca307a66782,team-id-matched
2022-first-D22102920026-PISA架构芯片资源排布问题.pdf,2022-D22102920026,2022,first,D22102920026,PISA架构芯片资源排布问题,no,REFERENCE_ONLY,0e09038ddf78cc6d9e83eb45f6141e5fb88e0166,team-id-matched
2022-first-D22102930009-PISA架构芯片资源排布问题.pdf,2022-D22102930009,2022,first,D22102930009,PISA架构芯片资源排布问题,yes,REFERENCE_ONLY,c6f2071cca8f385bd089330aef78d75c712a509c,team-id-matched
2022-first-D22103360092-PISA架构芯片资源排布问题.pdf,2022-D22103360092,2022,first,D22103360092,PISA架构芯片资源排布问题,yes,REFERENCE_ONLY,13224ae9da279a1890a4e6ecb9f12db7c18b97b9,team-id-matched
2022-first-D22104760020-PISA架构芯片资源排布问题.pdf,2022-D22104760020,2022,first,D22104760020,PISA架构芯片资源排布问题,yes,REFERENCE_ONLY,3c95892e7eea7522701c6e8aee4142212a5a77b8,team-id-matched
2022-first-D22106990096-PISA架构芯片资源排布问题.pdf,2022-D22106990096,2022,first,D22106990096,PISA架构芯片资源排布问题,no,REFERENCE_ONLY,2008fd857d7c85082b4ee147570825456275058b,team-id-matched
2022-first-D22900310001-PISA架构芯片资源排布问题.pdf,2022-D22900310001,2022,first,D22900310001,PISA架构芯片资源排布问题,yes,REFERENCE_ONLY,b9f2aa5cebdd2bbb9a4d5ab5a96b06e4365665a9,team-id-matched
2022-first-D22910040028-PISA架构芯片资源排布问题.pdf,2022-D22910040028,2022,first,D22910040028,PISA架构芯片资源排布问题,no,REFERENCE_ONLY,b74c461486d45a93f998783ad1a386b315ff4bc1,team-id-matched
2022-first-E22103040108-草原放牧策略研究.pdf,2022-E22103040108,2022,first,E22103040108,草原放牧策略研究,no,REFERENCE_ONLY,e3a249eb880d0b7043aa2705a9e7930130f93a31,team-id-matched
2022-first-E22103350038-草原放牧策略研究.pdf,2022-E22103350038,2022,first,E22103350038,草原放牧策略研究,no,REFERENCE_ONLY,b01ef592e73f47c979e915a2e8ef3487b697841e,team-id-matched
2022-first-E22104860014-草原放牧策略研究.pdf,2022-E22104860014,2022,first,E22104860014,草原放牧策略研究,no,REFERENCE_ONLY,626672fe44d7b02c300ce32ea6b4ce7c34fa289c,team-id-matched
2022-first-E22104870114-草原放牧策略研究.pdf,2022-E22104870114,2022,first,E22104870114,草原放牧策略研究,yes,REFERENCE_ONLY,eb801eac76391895dbca540847c0eec773165db5,team-id-matched
2022-first-E22106110005-草原放牧策略研究.pdf,2022-E22106110005,2022,first,E22106110005,草原放牧策略研究,yes,REFERENCE_ONLY,8f6063c745db85161f81cef19ed7c0de8b94fed2,team-id-matched
2022-first-E22107100039-草原放牧策略研究.pdf,2022-E22107100039,2022,first,E22107100039,草原放牧策略研究,no,REFERENCE_ONLY,4e75fbd22c872e1cdd8869f295ebf5b1a016a6ae,team-id-matched
2022-first-F22100090053-COVID-19疫情期间生活物资的科学管理问题.pdf,2022-F22100090053,2022,first,F22100090053,COVID-19疫情期间生活物资的科学管理问题,yes,REFERENCE_ONLY,10037482f7732f7fa1863b822807ec02561dd047,team-id-matched
2022-first-F22101470006-COVID-19疫情期间生活物资的科学管理问题.pdf,2022-F22101470006,2022,first,F22101470006,COVID-19疫情期间生活物资的科学管理问题,no,REFERENCE_ONLY,d2281445fd2abcc147ab07d51640343b77898472,team-id-matched
2022-first-F22102540295-COVID-19疫情期间生活物资的科学管理问题.pdf,2022-F22102540295,2022,first,F22102540295,COVID-19疫情期间生活物资的科学管理问题,no,REFERENCE_ONLY,e226eed8740071d0255563e8f32573e97b4c9548,team-id-matched
2022-first-F22102980006-COVID-19疫情期间生活物资的科学管理问题.pdf,2022-F22102980006,2022,first,F22102980006,COVID-19疫情期间生活物资的科学管理问题,no,REFERENCE_ONLY,1e571aebddaad49373b22ecfb942d34d7b42cf76,team-id-matched
2022-first-F22103570053-COVID-19疫情期间生活物资的科学管理问题.pdf,2022-F22103570053,2022,first,F22103570053,COVID-19疫情期间生活物资的科学管理问题,yes,REFERENCE_ONLY,39509d61f25b7f97c72352a021e5d6d2f2434359,team-id-matched
2022-first-F22105330345-COVID-19疫情期间生活物资的科学管理问题.pdf,2022-F22105330345,2022,first,F22105330345,COVID-19疫情期间生活物资的科学管理问题,yes,REFERENCE_ONLY,17b7fae62fbd796104fd9bcf698a26904d278faa,team-id-matched
2022-first-F22106150018-COVID-19疫情期间生活物资的科学管理问题.pdf,2022-F22106150018,2022,first,F22106150018,COVID-19疫情期间生活物资的科学管理问题,no,REFERENCE_ONLY,7f83aa8e04df75baa372fc78d3a4b326aba0e16f,team-id-matched
2022-participation-E22100160013-草原放牧策略研究.pdf,2022-E22100160013,2022,participation,E22100160013,草原放牧策略研究,no,REFERENCE_ONLY,02e0256ef169f97898a4e74a483a5eb1ea961873,team-id-matched
2023-first-A23100070049-WLAN网络信道接入机制建模.pdf,2023-A23100070049,2023,first,A23100070049,WLAN网络信道接入机制建模,yes,REFERENCE_ONLY,769cc903e8f475af9be421a9cae8e0aa21c30110,team-id-matched
2023-first-A23102470073-WLAN网络信道接入机制建模.pdf,2023-A23102470073,2023,first,A23102470073,WLAN网络信道接入机制建模,no,REFERENCE_ONLY,7e8efe71ccbc1a629c24997c03745e16dd328ed6,team-id-matched
2023-first-A23102480015-WLAN网络信道接入机制建模.pdf,2023-A23102480015,2023,first,A23102480015,WLAN网络信道接入机制建模,yes,REFERENCE_ONLY,4dd34872aef49586e7cd1a4460458c62fc7a8626,team-id-matched
2023-first-A23102860239-WLAN网络信道接入机制建模.pdf,2023-A23102860239,2023,first,A23102860239,WLAN网络信道接入机制建模,no,REFERENCE_ONLY,d844103e25f90ed4a0193f1b3c0e8a34cbf2e868,team-id-matched
2023-first-A23102890028-WLAN网络信道接入机制建模.pdf,2023-A23102890028,2023,first,A23102890028,WLAN网络信道接入机制建模,yes,REFERENCE_ONLY,22d37bd6461622983e62e75cee777a010c588845,team-id-matched
